Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed
SHIP000016,Chennai,Bangalore,2023-07-28,2023-08-02,2023-08-03,Truck,1624,Clear,Moderate,Yes
SHIP000017,Lucknow,Pune,2023-11-28,2023-11-29,2023-11-29,Truck,314,Clear,Light,No
SHIP000018,Jaipur,Mumbai,2023-09-03,2023-09-04,2023-09-07,Truck,362,Fog,Moderate,Yes
SHIP000019,Pune,Lucknow,2024-02-02,2024-02-07,2024-02-08,Lorry,1691,Rain,Light,Yes
SHIP000020,Chennai,Jaipur,2024-04-12,2024-04-15,2024-04-15,Container,999,Clear,Light,No
SHIP000021,Lucknow,Pune,2023-11-13,2023-11-19,2023-11-19,Truck,1831,Clear,Light,No
SHIP000022,Jaipur,Chennai,2023-06-24,2023-06-29,2023-06-29,Lorry,1522,Clear,Light,No
SHIP000023,Jaipur,Ahmedabad,2023-05-04,2023-05-10,2023-05-11,Truck,1885,Rain,Light,Yes
SHIP000024,Jaipur,Ahmedabad,2023-12-20,2023-12-23,2023-12-23,Truck,935,Clear,Light,No
SHIP000025,Delhi,Chennai,2023-11-30,2023-12-01,2023-12-03,Lorry,531,Rain,Moderate,Yes
SHIP000026,Kolkata,Chennai,2023-05-22,2023-05-26,2023-05-26,Container,1328,Clear,Light,No
SHIP000027,Hyderabad,Pune,2023-10-31,2023-11-05,2023-11-07,Trailer,1768,Clear,Heavy,Yes
SHIP000028,Pune,Chennai,2023-08-19,2023-08-25,2023-08-25,Container,1997,Clear,Light,No
SHIP000029,Ahmedabad,Kolkata,2023-08-12,2023-08-13,2023-08-13,Lorry,215,Clear,Light,No
SHIP000030,Hyderabad,Pune,2023-08-19,2023-08-24,2023-08-27,Trailer,1568,Rain,Heavy,Yes
SHIP000031,Jaipur,Ahmedabad,2024-04-13,2024-04-14,2024-04-14,Lorry,227,Clear,Light,No
SHIP000032,Ahmedabad,Hyderabad,2023-05-05,2023-05-10,2023-05-13,Lorry,1621,Rain,Heavy,Yes
SHIP000033,Ahmedabad,Mumbai,2024-04-19,2024-04-24,2024-04-26,Truck,1582,Clear,Light,Yes
SHIP000034,Pune,Chennai,2023-10-05,2023-10-07,2023-10-07,Lorry,806,Clear,Light,No
SHIP000035,Mumbai,Delhi,2023-01-03,2023-01-04,2023-01-09,Trailer,291,Clear,Light,Yes
SHIP000036,Chennai,Kolkata,2023-10-10,2023-10-12,2023-10-14,Lorry,785,Fog,Light,Yes
SHIP000037,Lucknow,Chennai,2023-11-23,2023-11-29,2023-11-29,Truck,1886,Clear,Light,No
SHIP000038,Pune,Mumbai,2023-07-24,2023-07-27,2023-07-27,Trailer,961,Clear,Light,No
SHIP000039,Delhi,Jaipur,2024-02-09,2024-02-15,2024-02-18,Trailer,1968,Clear,Light,Yes
SHIP000040,Chennai,Pune,2023-05-31,2023-06-01,2023-06-04,Lorry,333,Clear,Light,Yes
SHIP000041,Chennai,Pune,2023-06-07,2023-06-12,2023-06-14,Trailer,1513,Clear,Heavy,Yes
SHIP000042,Ahmedabad,Kolkata,2023-12-25,2023-12-29,2023-12-30,Lorry,1228,Clear,Moderate,Yes
SHIP000043,Kolkata,Mumbai,2023-06-19,2023-06-21,2023-06-24,Lorry,872,Rain,Heavy,Yes
SHIP000044,Mumbai,Jaipur,2023-11-28,2023-11-30,2023-11-30,Container,812,Clear,Light,No
SHIP000045,Ahmedabad,Delhi,2024-04-13,2024-04-17,2024-04-19,Container,1244,Clear,Light,Yes
SHIP000046,Mumbai,Ahmedabad,2023-11-29,2023-11-30,2023-12-01,Truck,355,Clear,Moderate,Yes
SHIP000047,Mumbai,Jaipur,2024-05-17,2024-05-20,2024-05-20,Container,1193,Clear,Light,No
SHIP000048,Pune,Ahmedabad,2023-08-07,2023-08-11,2023-08-12,Truck,1317,Clear,Moderate,Yes
SHIP000049,Hyderabad,Bangalore,2023-05-08,2023-05-14,2023-05-16,Trailer,1969,Fog,Light,Yes
SHIP000050,Jaipur,Lucknow,2023-02-23,2023-02-26,2023-02-26,Truck,952,Clear,Light,No
SHIP000051,Chennai,Delhi,2024-03-25,2024-03-27,2024-03-28,Lorry,604,Clear,Moderate,Yes
SHIP000052,Kolkata,Bangalore,2024-01-29,2024-02-01,2024-02-01,Truck,1174,Clear,Light,No
SHIP000053,Lucknow,Hyderabad,2023-02-26,2023-02-27,2023-02-27,Trailer,362,Clear,Light,No
SHIP000054,Delhi,Kolkata,2023-02-28,2023-03-03,2023-03-04,Container,1005,Clear,Moderate,Yes
SHIP000055,Bangalore,Chennai,2023-03-05,2023-03-09,2023-03-12,Container,1250,Clear,Light,Yes
SHIP000056,Hyderabad,Pune,2023-10-27,2023-10-31,2023-11-02,Truck,1286,Fog,Light,Yes
SHIP000057,Kolkata,Jaipur,2023-07-31,2023-08-05,2023-08-12,Container,1521,Fog,Light,Yes
SHIP000058,Chennai,Mumbai,2024-04-01,2024-04-04,2024-04-06,Lorry,921,Fog,Light,Yes
SHIP000059,Ahmedabad,Kolkata,2024-03-02,2024-03-06,2024-03-07,Lorry,1413,Rain,Light,Yes
SHIP000060,Lucknow,Bangalore,2023-03-10,2023-03-11,2023-03-12,Lorry,554,Clear,Moderate,Yes
SHIP000061,Chennai,Pune,2023-01-27,2023-01-28,2023-01-31,Lorry,523,Clear,Light,Yes
SHIP000062,Jaipur,Mumbai,2023-09-01,2023-09-05,2023-09-06,Container,1367,Clear,Moderate,Yes
SHIP000063,Chennai,Delhi,2023-08-03,2023-08-08,2023-08-13,Trailer,1677,Rain,Light,Yes
SHIP000064,Hyderabad,Lucknow,2024-03-30,2024-03-31,2024-03-31,Container,458,Clear,Light,No
SHIP000065,Delhi,Kolkata,2023-12-11,2023-12-12,2023-12-15,Container,496,Clear,Moderate,Yes
SHIP000066,Hyderabad,Ahmedabad,2024-03-04,2024-03-08,2024-03-10,,1311,Clear,Heavy,Yes
SHIP000067,Lucknow,Pune,2024-05-08,2024-05-09,2024-05-13,Container,455,Clear,Light,Yes
SHIP000068,Bangalore,Kolkata,2023-07-06,2023-07-07,2023-07-09,Truck,550,Clear,Light,Yes
SHIP000069,Lucknow,Kolkata,2023-01-14,2023-01-19,2023-01-20,Container,1718,Clear,Moderate,Yes
SHIP000070,Chennai,Hyderabad,2023-08-23,2023-08-25,2023-08-26,Trailer,617,Clear,Moderate,Yes
SHIP000071,Chennai,Bangalore,2023-12-05,2023-12-07,2023-12-11,Container,879,Clear,Heavy,Yes
SHIP000072,Lucknow,Mumbai,2023-12-25,2023-12-27,2023-12-28,Lorry,683,Clear,Moderate,Yes
SHIP000073,Lucknow,Ahmedabad,2023-01-05,2023-01-07,2023-01-08,Lorry,629,Clear,Moderate,Yes
SHIP000074,Hyderabad,Delhi,2023-12-20,2023-12-23,2023-12-23,Lorry,1085,Clear,Light,No
SHIP000075,Mumbai,Delhi,2024-03-04,2024-03-08,2024-03-12,Truck,1244,Storm,Moderate,Yes
SHIP000076,Mumbai,Chennai,2023-11-14,2023-11-19,2023-11-20,Trailer,1618,Rain,Light,Yes
SHIP000077,Delhi,Kolkata,2023-07-01,2023-07-04,2023-07-05,Container,1154,Clear,Moderate,Yes
SHIP000078,Kolkata,Bangalore,2023-04-07,2023-04-13,2023-04-15,Lorry,1880,Rain,Moderate,Yes
SHIP000079,Mumbai,Hyderabad,2023-09-23,2023-09-24,2023-09-24,Container,336,Clear,Light,No
SHIP000080,Pune,Jaipur,2023-10-06,2023-10-12,2023-10-18,Lorry,1849,Clear,Moderate,Yes
SHIP000081,Jaipur,Ahmedabad,2024-02-24,2024-02-25,2024-02-27,Truck,421,Rain,Moderate,Yes
SHIP000082,Ahmedabad,Bangalore,2023-12-26,2023-12-28,2023-12-31,Truck,725,Clear,Moderate,Yes
SHIP000083,Mumbai,Chennai,2023-09-26,2023-09-30,2023-10-02,Truck,1293,Clear,Light,Yes
SHIP000084,Chennai,Lucknow,2023-05-06,2023-05-12,2023-05-14,Lorry,1848,Fog,Light,Yes
SHIP000085,Jaipur,Kolkata,2023-12-22,2023-12-26,2023-12-28,Trailer,1353,Clear,Light,Yes
SHIP000086,Ahmedabad,Bangalore,2024-04-01,2024-04-02,2024-04-02,Trailer,564,Clear,Light,No
SHIP000087,Kolkata,Jaipur,2023-09-25,2023-10-01,2023-10-01,Trailer,1814,Clear,Light,No
SHIP000088,Lucknow,Delhi,2023-07-18,2023-07-19,2023-07-26,Truck,408,Fog,Light,Yes
SHIP000089,Bangalore,Kolkata,2024-04-07,2024-04-08,2024-04-08,Trailer,587,Clear,Light,No
SHIP000090,Chennai,Jaipur,2023-04-01,2023-04-04,2023-04-05,Container,1017,Clear,Moderate,Yes
SHIP000091,Bangalore,Lucknow,2024-03-10,2024-03-12,2024-03-17,Truck,627,Rain,Moderate,Yes
SHIP000092,Mumbai,Kolkata,2023-03-26,2023-03-28,2023-04-02,Truck,602,Clear,Light,Yes
SHIP000093,Pune,Delhi,2023-04-24,2023-04-25,2023-04-28,Trailer,520,Clear,Light,Yes
SHIP000094,Jaipur,Bangalore,2023-11-17,2023-11-21,2023-11-23,Lorry,1382,Clear,Heavy,Yes
SHIP000095,Pune,Hyderabad,2023-04-28,2023-04-29,2023-05-03,Lorry,518,Clear,Heavy,Yes
SHIP000096,Delhi,Pune,2024-03-09,2024-03-14,2024-03-16,Trailer,1585,Fog,Light,Yes
SHIP000097,Mumbai,Lucknow,2023-12-22,2023-12-28,2023-12-30,Container,1861,Clear,Light,Yes
SHIP000098,Chennai,Hyderabad,2023-03-03,2023-03-04,2023-03-06,Truck,232,Fog,Light,Yes
SHIP000099,Hyderabad,Mumbai,2023-05-02,2023-05-05,2023-05-09,Container,1040,Fog,Heavy,Yes
SHIP000100,Mumbai,Ahmedabad,2023-11-21,2023-11-25,2023-11-29,Container,1414,Storm,Moderate,Yes
SHIP000101,Ahmedabad,Delhi,2023-05-27,2023-05-30,2023-05-31,,1115,Clear,Moderate,Yes
SHIP000102,Jaipur,Ahmedabad,2023-10-28,2023-11-02,2023-11-04,Trailer,1708,Clear,Heavy,Yes
SHIP000103,Ahmedabad,Bangalore,2024-02-28,2024-03-05,2024-03-10,Trailer,1839,Clear,Heavy,Yes
SHIP000104,Jaipur,Delhi,2023-05-30,2023-06-03,2023-06-04,Container,1495,Clear,Moderate,Yes
SHIP000105,Delhi,Ahmedabad,2024-04-17,2024-04-21,2024-04-21,Lorry,1340,Clear,Light,No
SHIP000106,Kolkata,Ahmedabad,2023-05-31,2023-06-01,2023-06-03,Trailer,364,Clear,Heavy,Yes
SHIP000107,Kolkata,Ahmedabad,2023-12-04,2023-12-09,2023-12-12,Truck,1726,Fog,Moderate,Yes
SHIP000108,Mumbai,Ahmedabad,2023-03-02,2023-03-05,2023-03-06,Truck,1172,Rain,Light,Yes
SHIP000109,Hyderabad,Kolkata,2023-12-16,2023-12-17,2023-12-19,Lorry,501,Clear,Heavy,Yes
SHIP000110,Jaipur,Hyderabad,2023-04-18,2023-04-21,2023-04-23,Lorry,1040,Clear,Heavy,Yes
SHIP000111,Mumbai,Ahmedabad,2024-04-19,2024-04-24,2024-04-29,Trailer,1635,Fog,Light,Yes
SHIP000112,Ahmedabad,Kolkata,2023-05-11,2023-05-15,2023-05-16,Truck,1259,Clear,Moderate,Yes
SHIP000113,Lucknow,Ahmedabad,2024-03-20,2024-03-22,2024-03-22,Truck,779,Clear,Light,No
SHIP000114,Ahmedabad,Mumbai,2023-07-20,2023-07-22,2023-07-28,Trailer,795,Clear,Moderate,Yes
SHIP000115,Mumbai,Ahmedabad,2024-01-26,2024-01-27,2024-01-27,Lorry,215,Clear,Light,No
SHIP000116,Hyderabad,Mumbai,2024-01-26,2024-01-28,2024-01-30,Container,719,Clear,Heavy,Yes
SHIP000117,Chennai,Bangalore,2023-10-06,2023-10-11,2023-10-11,Lorry,1625,Clear,Light,No
SHIP000118,Kolkata,Delhi,2023-07-14,2023-07-20,2023-07-25,Truck,1980,Clear,Heavy,Yes
SHIP000119,Pune,Lucknow,2023-05-21,2023-05-27,2023-05-29,Trailer,1937,Clear,Light,Yes
SHIP000120,Bangalore,Mumbai,2023-05-12,2023-05-18,2023-05-19,,1802,Clear,Moderate,Yes
SHIP000121,Pune,Mumbai,2024-01-24,2024-01-25,2024-01-26,Truck,361,Clear,Moderate,Yes
SHIP000122,Bangalore,Kolkata,2023-09-18,2023-09-23,2023-09-24,Trailer,1638,Clear,Moderate,Yes
SHIP000123,Jaipur,Bangalore,2023-05-05,2023-05-10,2023-05-10,Trailer,1703,Clear,Light,No
SHIP000124,Bangalore,Delhi,2023-02-11,2023-02-12,2023-02-12,Lorry,410,Clear,Light,No
SHIP000125,Delhi,Bangalore,2024-03-22,2024-03-23,2024-03-24,Truck,321,Clear,Moderate,Yes
SHIP000126,Kolkata,Chennai,2023-10-20,2023-10-21,2023-10-22,,517,Clear,Moderate,Yes
SHIP000127,Ahmedabad,Hyderabad,2024-03-02,2024-03-05,2024-03-05,Lorry,953,Clear,Light,No
SHIP000128,Mumbai,Hyderabad,2024-03-22,2024-03-28,2024-03-29,Container,1926,Clear,Moderate,Yes
SHIP000129,Jaipur,Hyderabad,2023-03-09,2023-03-13,2023-03-15,Container,1313,Clear,Heavy,Yes
SHIP000130,Mumbai,Ahmedabad,2023-06-15,2023-06-16,2023-06-18,Trailer,578,Clear,Light,Yes
SHIP000131,Lucknow,Chennai,2023-12-23,2023-12-25,2023-12-28,,772,Clear,Moderate,Yes
SHIP000132,Bangalore,Delhi,2024-02-21,2024-02-24,2024-02-25,Lorry,1073,Clear,Moderate,Yes
SHIP000133,Hyderabad,Chennai,2024-01-13,2024-01-16,2024-01-16,Truck,1120,Clear,Light,No
SHIP000134,Ahmedabad,Hyderabad,2023-12-15,2023-12-20,2023-12-24,Lorry,1771,Clear,Heavy,Yes
SHIP000135,Jaipur,Pune,2023-07-04,2023-07-06,2023-07-06,Truck,656,Clear,Light,No
SHIP000136,Pune,Hyderabad,2023-03-08,2023-03-11,2023-03-16,Container,1112,Clear,Moderate,Yes
SHIP000137,Mumbai,Hyderabad,2023-05-07,2023-05-08,2023-05-08,,337,Clear,Light,No
SHIP000138,Chennai,Hyderabad,2023-11-06,2023-11-09,2023-11-09,Container,1189,Clear,Light,No
SHIP000139,Hyderabad,Mumbai,2024-04-29,2024-05-04,2024-05-05,Trailer,1610,Clear,Moderate,Yes
SHIP000140,Lucknow,Chennai,2023-12-18,2023-12-22,2023-12-24,Lorry,1255,Fog,Light,Yes
SHIP000141,Chennai,Ahmedabad,2024-05-08,2024-05-11,2024-05-12,Container,1101,Clear,Moderate,Yes
SHIP000142,Mumbai,Kolkata,2023-07-29,2023-08-02,2023-08-04,Container,1334,Rain,Moderate,Yes
SHIP000143,Chennai,Kolkata,2023-06-05,2023-06-10,2023-06-11,Lorry,1783,Rain,Light,Yes
SHIP000144,Chennai,Pune,2023-04-23,2023-04-25,2023-04-25,Truck,603,Clear,Light,No
SHIP000145,Bangalore,Kolkata,2023-10-28,2023-11-01,2023-11-01,Lorry,1275,Clear,Light,No
SHIP000146,Chennai,Delhi,2024-04-26,2024-04-27,2024-04-27,Container,581,Clear,Light,No
SHIP000147,Pune,Ahmedabad,2023-05-21,2023-05-25,2023-05-28,Container,1374,Clear,Light,Yes
SHIP000148,Ahmedabad,Hyderabad,2023-10-29,2023-10-30,2023-11-06,Trailer,203,Fog,Heavy,Yes
SHIP000149,Mumbai,Kolkata,2023-03-24,2023-03-25,2023-03-27,Container,476,Fog,Light,Yes
SHIP000150,Hyderabad,Jaipur,2024-04-08,2024-04-10,2024-04-10,Truck,600,Clear,Light,No
SHIP000151,Pune,Lucknow,2024-02-21,2024-02-25,2024-03-01,Lorry,1448,Clear,Light,Yes
SHIP000152,Kolkata,Lucknow,2023-11-02,2023-11-06,2023-11-06,Truck,1430,Clear,Light,No
SHIP000153,Bangalore,Hyderabad,2023-03-05,2023-03-06,2023-03-06,,272,Clear,Light,No
SHIP000154,Pune,Lucknow,2023-07-21,2023-07-26,2023-07-31,Trailer,1568,Storm,Light,Yes
SHIP000155,Pune,Kolkata,2023-08-15,2023-08-20,2023-08-22,Trailer,1578,Clear,Heavy,Yes
SHIP000156,Kolkata,Mumbai,2024-01-07,2024-01-10,2024-01-11,Lorry,1173,Rain,Light,Yes
SHIP000157,Hyderabad,Ahmedabad,2023-12-12,2023-12-14,2023-12-18,Trailer,826,Clear,Light,Yes
SHIP000158,Ahmedabad,Bangalore,2024-03-31,2024-04-03,2024-04-03,Truck,1067,Clear,Light,No
SHIP000159,Bangalore,Hyderabad,2023-08-21,2023-08-26,2023-08-27,Trailer,1764,Clear,Moderate,Yes
SHIP000160,Delhi,Ahmedabad,2024-04-22,2024-04-26,2024-04-28,Truck,1238,Clear,Heavy,Yes
SHIP000161,Hyderabad,Ahmedabad,2024-05-22,2024-05-23,2024-05-24,Lorry,564,Clear,Moderate,Yes
SHIP000162,Ahmedabad,Kolkata,2024-06-01,2024-06-04,2024-06-05,Container,957,Rain,Light,Yes
SHIP000163,Lucknow,Jaipur,2023-02-19,2023-02-24,2023-02-25,Truck,1646,Clear,Moderate,Yes
SHIP000164,Delhi,Bangalore,2024-02-19,2024-02-21,2024-02-21,Lorry,625,Clear,Light,No
SHIP000165,Chennai,Bangalore,2023-07-10,2023-07-16,2023-07-17,Lorry,1938,Rain,Light,Yes
SHIP000166,Bangalore,Pune,2023-08-24,2023-08-25,2023-08-27,Trailer,282,Clear,Heavy,Yes
SHIP000167,Kolkata,Mumbai,2023-07-01,2023-07-06,2023-07-07,Trailer,1635,Clear,Moderate,Yes
SHIP000168,Lucknow,Pune,2023-02-01,2023-02-06,2023-02-09,Lorry,1708,Clear,Light,Yes
SHIP000169,Kolkata,Bangalore,2023-08-29,2023-09-01,2023-09-01,Truck,1019,Clear,Light,No
SHIP000170,Delhi,Mumbai,2023-01-12,2023-01-13,2023-01-16,Lorry,522,Storm,Light,Yes
SHIP000171,Bangalore,Ahmedabad,2024-04-11,2024-04-14,2024-04-15,Truck,965,Clear,Moderate,Yes
SHIP000172,Kolkata,Hyderabad,2024-05-26,2024-05-29,2024-05-29,Trailer,1060,Clear,Light,No
SHIP000173,Hyderabad,Bangalore,2024-04-12,2024-04-16,2024-04-17,Truck,1462,Clear,Moderate,Yes
SHIP000174,Lucknow,Delhi,2023-04-02,2023-04-06,2023-04-08,Container,1350,Clear,Heavy,Yes
SHIP000175,Pune,Jaipur,2023-10-04,2023-10-09,2023-10-14,Lorry,1757,Clear,Moderate,Yes
SHIP000176,Pune,Jaipur,2024-02-07,2024-02-10,2024-02-14,Trailer,980,Clear,Heavy,Yes
SHIP000177,Jaipur,Ahmedabad,2023-03-08,2023-03-09,2023-03-11,Trailer,296,Clear,Heavy,Yes
SHIP000178,Chennai,Delhi,2024-03-10,2024-03-13,2024-03-16,Container,929,Storm,Light,Yes
SHIP000179,Jaipur,Delhi,2024-02-17,2024-02-18,2024-02-23,Trailer,238,Clear,Light,Yes
SHIP000180,Mumbai,Pune,2023-08-28,2023-09-01,2023-09-01,Truck,1452,Clear,Light,No
SHIP000181,Kolkata,Chennai,2023-03-28,2023-04-01,2023-04-01,Container,1436,Clear,Light,No
SHIP000182,Jaipur,Chennai,2023-01-25,2023-01-27,2023-01-28,Container,632,Clear,Moderate,Yes
SHIP000183,Mumbai,Jaipur,2023-12-10,2023-12-14,2023-12-16,Container,1229,Rain,Moderate,Yes
SHIP000184,Hyderabad,Jaipur,2023-06-15,2023-06-18,2023-06-19,Lorry,975,Clear,Moderate,Yes
SHIP000185,Ahmedabad,Mumbai,2023-10-01,2023-10-02,2023-10-04,Container,544,Clear,Heavy,Yes
SHIP000186,Pune,Lucknow,2023-12-03,2023-12-08,2023-12-11,Lorry,1769,Rain,Heavy,Yes
SHIP000187,Bangalore,Jaipur,2023-10-08,2023-10-14,2023-10-22,Truck,1960,Fog,Heavy,Yes
SHIP000188,Ahmedabad,Kolkata,2023-07-06,2023-07-11,2023-07-16,Trailer,1632,Clear,Heavy,Yes
SHIP000189,Jaipur,Kolkata,2024-05-15,2024-05-21,2024-05-24,,1859,Fog,Moderate,Yes
SHIP000190,Hyderabad,Mumbai,2023-02-04,2023-02-08,2023-02-09,Lorry,1438,Clear,Moderate,Yes
SHIP000191,Pune,Jaipur,2023-03-02,2023-03-05,2023-03-07,Trailer,1038,Fog,Light,Yes
SHIP000192,Pune,Bangalore,2023-08-27,2023-08-30,2023-09-01,Truck,967,Fog,Light,Yes
SHIP000193,Pune,Chennai,2023-04-05,2023-04-06,2023-04-13,Truck,244,Rain,Moderate,Yes
SHIP000194,Chennai,Delhi,2023-06-14,2023-06-17,2023-06-19,Trailer,912,Clear,Heavy,Yes
SHIP000195,Chennai,Jaipur,2023-05-15,2023-05-18,2023-05-21,Trailer,1046,Storm,Light,Yes
SHIP000196,Ahmedabad,Kolkata,2023-07-17,2023-07-18,2023-07-19,Container,541,Clear,Moderate,Yes
SHIP000197,Bangalore,Pune,2023-09-27,2023-10-03,2023-10-02,Trailer,1748,Clear,Moderate,Yes
SHIP000198,Chennai,Kolkata,2024-03-18,2024-03-22,2024-03-23,Trailer,1399,Clear,Moderate,Yes
SHIP000199,Ahmedabad,Jaipur,2023-04-27,2023-04-30,2023-04-30,Container,1023,Clear,Light,No
SHIP000200,Kolkata,Hyderabad,2023-12-14,2023-12-19,2023-12-20,Trailer,1684,Clear,Moderate,Yes
SHIP000201,Lucknow,Mumbai,2023-04-28,2023-05-01,2023-05-03,,1144,Clear,Heavy,Yes
SHIP000202,Lucknow,Hyderabad,2023-02-03,2023-02-08,2023-02-11,Container,1662,Storm,Light,Yes
SHIP000203,Pune,Bangalore,2024-03-22,2024-03-25,2024-03-26,Trailer,955,Rain,Light,Yes
SHIP000204,Bangalore,Pune,2024-03-21,2024-03-23,2024-03-25,Truck,870,Fog,Light,Yes
SHIP000205,Pune,Lucknow,2023-08-07,2023-08-11,2023-08-13,Lorry,1217,Rain,Moderate,Yes
SHIP000206,Lucknow,Kolkata,2023-04-17,2023-04-20,2023-04-20,Lorry,1031,Clear,Light,No
SHIP000207,Bangalore,Lucknow,2024-05-08,2024-05-14,2024-05-15,Lorry,1824,Clear,Moderate,Yes
SHIP000208,Ahmedabad,Lucknow,2023-07-01,2023-07-03,2023-07-03,Truck,792,Clear,Light,No
SHIP000209,Bangalore,Delhi,2023-02-02,2023-02-04,2023-02-04,Trailer,725,Clear,Light,No
SHIP000210,Bangalore,Mumbai,2023-08-05,2023-08-08,2023-08-10,Truck,935,Rain,Moderate,Yes
SHIP000211,Ahmedabad,Bangalore,2024-05-05,2024-05-07,2024-05-08,Trailer,638,Rain,Light,Yes
SHIP000212,Kolkata,Mumbai,2023-05-11,2023-05-13,2023-05-19,Container,674,Fog,Light,Yes
SHIP000213,Ahmedabad,Chennai,2023-12-31,2024-01-01,2024-01-09,Trailer,349,Storm,Light,Yes
SHIP000214,Pune,Mumbai,2023-11-11,2023-11-13,2023-11-15,Trailer,871,Clear,Heavy,Yes
SHIP000215,Lucknow,Mumbai,2023-04-07,2023-04-10,2023-04-16,,1192,Rain,Light,Yes
SHIP000216,Lucknow,Jaipur,2023-03-14,2023-03-15,2023-03-15,Truck,411,Clear,Light,No
SHIP000217,Chennai,Ahmedabad,2023-07-05,2023-07-11,2023-07-12,Truck,1819,Clear,Moderate,Yes
SHIP000218,Ahmedabad,Delhi,2023-10-19,2023-10-21,2023-10-27,Container,803,Rain,Moderate,Yes
SHIP000219,Kolkata,Ahmedabad,2024-04-05,2024-04-10,2024-04-10,Container,1582,Clear,Light,No
SHIP000220,Kolkata,Mumbai,2023-06-14,2023-06-18,2023-06-19,Trailer,1308,Clear,Moderate,Yes
SHIP000221,Kolkata,Jaipur,2023-07-25,2023-07-27,2023-07-27,Truck,813,Clear,Light,No
SHIP000222,Lucknow,Mumbai,2023-02-20,2023-02-24,2023-03-02,Container,1290,Clear,Moderate,Yes
SHIP000223,Ahmedabad,Chennai,2023-11-16,2023-11-19,2023-11-20,Lorry,1132,Rain,Light,Yes
SHIP000224,Bangalore,Hyderabad,2023-04-13,2023-04-18,2023-04-19,Container,1528,Clear,Moderate,Yes
SHIP000225,Delhi,Lucknow,2024-04-14,2024-04-17,2024-04-18,Trailer,963,Clear,Moderate,Yes
SHIP000226,Kolkata,Ahmedabad,2023-01-01,2023-01-04,2023-01-08,Container,1069,Rain,Light,Yes
SHIP000227,Bangalore,Delhi,2023-01-05,2023-01-07,2023-01-07,Lorry,871,Clear,Light,No
SHIP000228,Mumbai,Kolkata,2024-03-25,2024-03-28,2024-03-29,Trailer,1189,Clear,Moderate,Yes
SHIP000229,Hyderabad,Bangalore,2024-03-25,2024-03-26,2024-03-27,Lorry,301,Rain,Light,Yes
SHIP000230,Hyderabad,Bangalore,2023-11-03,2023-11-07,2023-11-08,Trailer,1488,Clear,Moderate,Yes
SHIP000231,Pune,Hyderabad,2023-01-15,2023-01-16,2023-01-21,Trailer,471,Clear,Heavy,Yes
SHIP000232,Mumbai,Ahmedabad,2023-03-09,2023-03-11,2023-03-14,Lorry,668,Rain,Heavy,Yes
SHIP000233,Delhi,Lucknow,2024-03-26,2024-03-30,2024-04-01,Lorry,1358,Clear,Heavy,Yes
SHIP000234,Pune,Mumbai,2024-02-07,2024-02-12,2024-02-16,Truck,1509,Fog,Heavy,Yes
SHIP000235,Delhi,Pune,2023-12-06,2023-12-08,2023-12-10,,879,Clear,Heavy,Yes
SHIP000236,Chennai,Ahmedabad,2024-03-19,2024-03-24,2024-03-26,Lorry,1709,Clear,Heavy,Yes
SHIP000237,Kolkata,Lucknow,2023-07-22,2023-07-26,2023-07-29,Truck,1272,Clear,Light,Yes
